Latitude,Longitude,CrimeCount
41.729985086,-87.551111901,8
41.730042294,-87.544626777,6
41.730115607,-87.606946133,6
41.730127277,-87.546615031,9
41.730167544,-87.543683718,10
41.730170832,-87.603534761,8
41.730204093,-87.663048546,9
41.730272224,-87.660618908,14
41.730529332,-87.604673732,11
41.730978985,-87.649708711,6
41.731144695,-87.66292886,15
41.731430954,-87.552669707,10
41.731497731,-87.658074565,10
41.731772447,-87.656723473,9
41.731794292,-87.55283017,31
41.731871232,-87.662807732,6
41.732006388,-87.658237765,17
41.732096198,-87.542799142,6
41.732214483,-87.625328663,8
41.732231064,-87.550069822,7
41.732429048,-87.585553602,7
41.732448257,-87.585553379,7
41.732486149,-87.63972389,6
41.7325887,-87.625489418,26
41.732730806,-87.585114125,8
41.732732538,-87.555617858,10
41.732767965,-87.640948192,7
41.732821527,-87.585560041,8
41.732867128,-87.584976986,11
41.732881222,-87.552857312,6
41.732951128,-87.604880837,8
41.733011781,-87.551474521,6
41.733187517,-87.585713335,10
41.733226633,-87.544364336,16
41.733238174,-87.554098649,8
41.73327429,-87.55133578,6
41.733300609,-87.604598447,7
41.733305445,-87.568192115,7
41.733310012,-87.544517191,27
41.733367244,-87.666642743,8
41.733410196,-87.642326181,8
41.7335097,-87.560576484,14
41.73353185,-87.560605528,8
41.733536443,-87.648285712,6
41.733586171,-87.555640534,6
41.73361681,-87.552874053,7
41.733634862,-87.55149261,23
41.73365047,-87.557845321,13
41.733759639,-87.557756078,100
41.733765103,-87.637471585,8
41.733806147,-87.649795972,6
41.733879384,-87.663160549,7
41.733892377,-87.549815159,7
41.733940784,-87.559794604,9
41.73407313,-87.597493023,6
41.73409815,-87.646759283,9
41.734175105,-87.642200742,7
41.73443001,-87.552600417,6
41.734484917,-87.552603415,7
41.734511826,-87.619177591,8
41.734531157,-87.604771389,6
41.734542567,-87.552606381,7
41.734654349,-87.73179004,6
41.734706221,-87.597361227,6
41.73471906,-87.585746867,23
41.734770376,-87.55261095,9
41.734878391,-87.552756193,7
41.735008973,-87.551377022,7
41.735015675,-87.545928867,9
41.735066839,-87.650896405,12
41.735099535,-87.644418431,7
41.735111784,-87.663195367,6
41.735129523,-87.705699176,9
41.735140161,-87.705134844,6
41.735176211,-87.702698048,6
41.73522889,-87.706306405,7
41.735273993,-87.703514126,47
41.735299884,-87.695768531,15
41.735341958,-87.693463563,6
41.735344151,-87.68198304,12
41.735345169,-87.559283136,8
41.735353297,-87.545939398,6
41.735365322,-87.638879542,14
41.735380901,-87.638732821,8
41.735387221,-87.690755539,7
41.735401377,-87.696254818,8
41.73542957,-87.566961505,9
41.735434763,-87.740968012,12
41.735434763,-87.673368736,19
41.735436877,-87.671479499,7
41.735465829,-87.545941688,6
41.735478834,-87.643601006,7
41.735490537,-87.691073263,10
41.73549447,-87.613927419,6
41.735517525,-87.746087907,42
41.735564583,-87.608925495,6
41.735631344,-87.668070212,6
41.735680531,-87.671359843,14
41.735696416,-87.663211273,7
41.735706321,-87.661148421,9
41.73571455,-87.668695873,14
41.735752519,-87.625429032,8
41.735755459,-87.657828456,11
