Block,CrimeCount
0000X W PARKING LOT B ST,2
0000X W PARKING LOT C ST,3
0000X W PARKING LOT D ST,1
0000X W PARKING LOT E ST,3
0000X W PARKING LOT F ST,2
0000X W PARKING LOT G ST,12
0000X W PERSHING RD,7
0000X W POLK ST,36
0000X W QUINCY ST,1
0000X W RANDOLPH ST,70
0000X W ROOSEVELT RD,12
0000X W ROOT ST,28
0000X W RUNWAY 1836,1
0000X W RWY 28C,2
0000X W RWY 9C,1
0000X W SCHILLER ST,10
0000X W SOUTH WATER MARKET ST,6
0000X W SOUTH WATER MK,30
0000X W SUPERIOR ST,62
0000X W TERMINAL ST,357
0000X W Terminal St,1
0000X W VAN BUREN ST,75
0000X W WACKER DR,102
0000X W WALTON ST,24
0000X W WASHINGTON BV,52
0000X W WASHINGTON ST,143
0000X W oak st,1
0000X W randolph st,1
000XX E 100 ST,1
000XX E 100TH PL,2
000XX E 100TH ST,1
000XX E 101ST ST,3
000XX E 102ND PL,2
000XX E 102ND ST,1
000XX E 103 ST,1
000XX E 104TH ST,1
000XX E 105TH ST,1
000XX E 110TH PL,1
000XX E 111TH ST,2
000XX E 112TH PL,1
000XX E 113 STREET,1
000XX E 113TH PL,3
000XX E 113TH ST,1
000XX E 117TH PL,1
000XX E 118TH ST,2
000XX E 119 PL,1
000XX E 119TH ST,3
000XX E 120TH PL,1
000XX E 120TH ST,1
000XX E 121ST PL,1
000XX E 122ND PL,1
000XX E 126TH ST,1
000XX E 24TH ST,1
000XX E 28TH ST,1
000XX E 33RD ST,1
000XX E 36TH PL,1
000XX E 37TH PL,3
000XX E 43RD ST,2
000XX E 44TH ST,1
000XX E 45 STREET,1
000XX E 56TH ST,2
000XX E 57TH ST,5
000XX E 59 STREET,1
000XX E 59TH ST,3
000XX E 63RD ST,1
000XX E 69TH ST,1
000XX E 70TH ST,1
000XX E 71ST ST,2
000XX E 74TH ST,1
000XX E 75 STREET,1
000XX E 75TH ST,3
000XX E 76TH ST,1
000XX E 79TH ST,2
000XX E 87TH ST,3
000XX E 88TH ST,1
000XX E 91ST ST,1
000XX E 99 PL,1
000XX E CERMAK RD,2
000XX E GARFIELD BLVD,4
000XX E GRAND AVE,2
000XX E HUBBARD ST,1
000XX E IDA B WELLS DR,1
000XX E JACKSON BLVD,1
000XX E LAKE ST,1
000XX E MARQUETTE RD,3
000XX E MONROE ST,1
000XX E OAK ST,1
000XX E ROOSEVELT RD,1
000XX N CENTRAL AVE,3
000XX N DAMEN AVE,1
000XX N FRANCISCO AVE,1
000XX N HAMLIN BLVD,5
000XX N HOMAN AVE,1
000XX N HOMAN BLVD,1
000XX N KARLOV AVE,1
000XX N KEDZIE AVE,1
000XX N KEELER AVE,1
000XX N KENTON AVE,1
000XX N KILBOURN AVE,3
000XX N LARAMIE AVE,2
000XX N LAVERGNE AVE,1
000XX N LECLAIRE AVE,2
